date,status,bedtime_window_start,bedtime_window_end
2023-06-13,LOW_SLEEP_SCORES,,
2023-06-14,LOW_SLEEP_SCORES,,
2023-06-15,LOW_SLEEP_SCORES,,
2023-06-15,LOW_SLEEP_SCORES,,
2023-06-16,LOW_SLEEP_SCORES,,
2023-06-18,LOW_SLEEP_SCORES,,
2023-06-18,LOW_SLEEP_SCORES,,
2023-06-20,LOW_SLEEP_SCORES,,
2023-06-20,LOW_SLEEP_SCORES,,
2023-06-22,LOW_SLEEP_SCORES,,
2023-06-22,LOW_SLEEP_SCORES,,
2023-06-23,LOW_SLEEP_SCORES,,
2023-06-23,LOW_SLEEP_SCORES,,
2023-06-25,LOW_SLEEP_SCORES,,
2023-06-27,LOW_SLEEP_SCORES,,
2023-06-28,LOW_SLEEP_SCORES,,
2023-06-29,LOW_SLEEP_SCORES,,
2023-06-30,LOW_SLEEP_SCORES,,
2023-07-02,LOW_SLEEP_SCORES,,
2023-07-04,LOW_SLEEP_SCORES,,
2023-07-05,LOW_SLEEP_SCORES,,
2023-07-06,LOW_SLEEP_SCORES,,
2023-07-08,LOW_SLEEP_SCORES,,
2023-07-09,LOW_SLEEP_SCORES,,
2023-07-10,LOW_SLEEP_SCORES,,
2023-07-11,LOW_SLEEP_SCORES,,
2023-07-12,LOW_SLEEP_SCORES,,
2023-07-14,LOW_SLEEP_SCORES,,
2023-07-15,LOW_SLEEP_SCORES,,
2023-07-16,LOW_SLEEP_SCORES,,
2023-07-18,LOW_SLEEP_SCORES,,
2023-07-19,LOW_SLEEP_SCORES,,
2023-07-20,LOW_SLEEP_SCORES,,
2023-07-21,LOW_SLEEP_SCORES,,
2023-07-22,LOW_SLEEP_SCORES,,
2023-07-23,LOW_SLEEP_SCORES,,
2023-07-25,LOW_SLEEP_SCORES,,
2023-07-26,LOW_SLEEP_SCORES,,
2023-07-27,LOW_SLEEP_SCORES,,
2023-07-28,LOW_SLEEP_SCORES,,
2023-07-29,LOW_SLEEP_SCORES,,
2023-07-30,LOW_SLEEP_SCORES,,
2023-07-31,LOW_SLEEP_SCORES,,
2023-08-01,LOW_SLEEP_SCORES,,
2023-08-03,LOW_SLEEP_SCORES,,
2023-08-04,LOW_SLEEP_SCORES,,
2023-08-06,LOW_SLEEP_SCORES,,
2023-08-07,LOW_SLEEP_SCORES,,
2023-08-08,LOW_SLEEP_SCORES,,
2023-08-09,LOW_SLEEP_SCORES,,
2023-08-10,LOW_SLEEP_SCORES,,
2023-08-12,LOW_SLEEP_SCORES,,
2023-08-13,LOW_SLEEP_SCORES,,
2023-08-14,LOW_SLEEP_SCORES,,
2023-08-15,LOW_SLEEP_SCORES,,
2023-08-16,LOW_SLEEP_SCORES,,
2023-08-17,LOW_SLEEP_SCORES,,
2023-08-19,LOW_SLEEP_SCORES,,
2023-08-21,IDEAL_BEDTIME_AVAILABLE,-2700,900
2023-08-23,IDEAL_BEDTIME_AVAILABLE,-2700,900
2023-08-24,IDEAL_BEDTIME_AVAILABLE,-2700,900
2023-08-26,IDEAL_BEDTIME_AVAILABLE,-2700,900
2023-08-27,IDEAL_BEDTIME_AVAILABLE,-2700,900
2023-08-28,IDEAL_BEDTIME_AVAILABLE,-2700,900
2023-08-29,IDEAL_BEDTIME_AVAILABLE,-2700,900
2023-09-01,IDEAL_BEDTIME_AVAILABLE,-1800,1800
2023-09-02,IDEAL_BEDTIME_AVAILABLE,-2700,900
2023-09-04,IDEAL_BEDTIME_AVAILABLE,-2700,900
2023-09-05,IDEAL_BEDTIME_AVAILABLE,-2700,900
2023-09-06,IDEAL_BEDTIME_AVAILABLE,-1800,1800
2023-09-07,IDEAL_BEDTIME_AVAILABLE,-2700,900
2023-09-08,IDEAL_BEDTIME_AVAILABLE,-2700,900
2023-09-10,IDEAL_BEDTIME_AVAILABLE,-4500,-900
2023-09-11,IDEAL_BEDTIME_AVAILABLE,-5400,-1800
2023-09-12,IDEAL_BEDTIME_AVAILABLE,-6300,-2700
2023-09-13,IDEAL_BEDTIME_AVAILABLE,-6300,-2700
2023-09-15,IDEAL_BEDTIME_AVAILABLE,-6300,-2700
2023-09-17,IDEAL_BEDTIME_AVAILABLE,-7200,-3600
2023-09-18,IDEAL_BEDTIME_AVAILABLE,-7200,-3600
2023-09-20,IDEAL_BEDTIME_AVAILABLE,-7200,-3600
2023-09-21,IDEAL_BEDTIME_AVAILABLE,-7200,-3600
2023-09-22,IDEAL_BEDTIME_AVAILABLE,-7200,-3600
2023-09-24,IDEAL_BEDTIME_AVAILABLE,-7200,-3600
2023-09-25,IDEAL_BEDTIME_AVAILABLE,-8100,-4500
2023-09-26,IDEAL_BEDTIME_AVAILABLE,-8100,-4500
2023-09-27,IDEAL_BEDTIME_AVAILABLE,-8100,-4500
2023-09-29,IDEAL_BEDTIME_AVAILABLE,-8100,-4500
2023-09-30,IDEAL_BEDTIME_AVAILABLE,-8100,-4500
2023-10-01,IDEAL_BEDTIME_AVAILABLE,-7200,-3600
2023-10-03,IDEAL_BEDTIME_AVAILABLE,-8100,-4500
2023-10-04,IDEAL_BEDTIME_AVAILABLE,-7200,-3600
2023-10-05,IDEAL_BEDTIME_AVAILABLE,-7200,-3600
2023-10-06,IDEAL_BEDTIME_AVAILABLE,-7200,-3600
2023-10-07,IDEAL_BEDTIME_AVAILABLE,-6300,-2700
2023-10-08,IDEAL_BEDTIME_AVAILABLE,-5400,-1800
2023-10-09,IDEAL_BEDTIME_AVAILABLE,-5400,-1800
2023-10-10,IDEAL_BEDTIME_AVAILABLE,-5400,-1800
2023-10-11,IDEAL_BEDTIME_AVAILABLE,-5400,-1800
2023-10-12,IDEAL_BEDTIME_AVAILABLE,-5400,-1800
2023-10-13,IDEAL_BEDTIME_AVAILABLE,-5400,-1800
2023-10-14,IDEAL_BEDTIME_AVAILABLE,-4500,-900
2023-10-15,IDEAL_BEDTIME_AVAILABLE,-2700,900
2023-10-16,IDEAL_BEDTIME_AVAILABLE,-3600,0
2023-10-17,IDEAL_BEDTIME_AVAILABLE,-3600,0
2023-10-18,IDEAL_BEDTIME_AVAILABLE,-3600,0
2023-10-23,IDEAL_BEDTIME_AVAILABLE,-3600,0
2023-10-24,IDEAL_BEDTIME_AVAILABLE,-4500,-900
2023-10-25,IDEAL_BEDTIME_AVAILABLE,-4500,-900
2023-10-26,IDEAL_BEDTIME_AVAILABLE,-3600,0
2023-10-27,IDEAL_BEDTIME_AVAILABLE,-3600,0
2023-10-28,IDEAL_BEDTIME_AVAILABLE,-4500,-900
2023-10-29,IDEAL_BEDTIME_AVAILABLE,-4500,-900
2023-10-30,IDEAL_BEDTIME_AVAILABLE,-5400,-1800
2023-11-01,IDEAL_BEDTIME_AVAILABLE,-5400,-1800
2023-11-02,IDEAL_BEDTIME_AVAILABLE,-4500,-900
2023-11-03,IDEAL_BEDTIME_AVAILABLE,-5400,-1800
2023-11-04,IDEAL_BEDTIME_AVAILABLE,-5400,-1800
2023-11-05,IDEAL_BEDTIME_AVAILABLE,-4500,-900
2023-11-06,IDEAL_BEDTIME_AVAILABLE,-3600,0
2023-11-07,IDEAL_BEDTIME_AVAILABLE,-2700,900
2023-11-08,IDEAL_BEDTIME_AVAILABLE,-2700,900
2023-11-10,IDEAL_BEDTIME_AVAILABLE,-2700,900
2023-11-11,IDEAL_BEDTIME_AVAILABLE,-2700,900
2023-11-12,IDEAL_BEDTIME_AVAILABLE,-2700,900
2023-11-13,IDEAL_BEDTIME_AVAILABLE,-2700,900
2023-11-14,IDEAL_BEDTIME_AVAILABLE,-2700,900
2023-11-15,IDEAL_BEDTIME_AVAILABLE,-1800,1800
2023-11-16,IDEAL_BEDTIME_AVAILABLE,-1800,1800
2023-11-17,IDEAL_BEDTIME_AVAILABLE,-2700,900
2023-11-18,IDEAL_BEDTIME_AVAILABLE,-2700,900
2023-11-19,IDEAL_BEDTIME_AVAILABLE,-1800,1800
2023-11-20,IDEAL_BEDTIME_AVAILABLE,-1800,1800
2023-11-21,IDEAL_BEDTIME_AVAILABLE,-1800,1800
2023-11-22,IDEAL_BEDTIME_AVAILABLE,-1800,1800
2023-11-23,IDEAL_BEDTIME_AVAILABLE,-3600,0
2023-11-24,IDEAL_BEDTIME_AVAILABLE,-2700,900
2023-11-25,IDEAL_BEDTIME_AVAILABLE,-2700,900
2023-11-26,IDEAL_BEDTIME_AVAILABLE,-2700,900
2023-11-27,IDEAL_BEDTIME_AVAILABLE,-3600,0
2023-11-28,IDEAL_BEDTIME_AVAILABLE,-3600,0
2023-11-29,IDEAL_BEDTIME_AVAILABLE,-1800,1800
2023-11-30,IDEAL_BEDTIME_AVAILABLE,-3600,0
2023-12-01,IDEAL_BEDTIME_AVAILABLE,-3600,0
2023-12-02,IDEAL_BEDTIME_AVAILABLE,-3600,0
2023-12-03,IDEAL_BEDTIME_AVAILABLE,-1800,1800
2023-12-04,IDEAL_BEDTIME_AVAILABLE,-3600,0
2023-12-05,IDEAL_BEDTIME_AVAILABLE,-3600,0
2023-12-06,IDEAL_BEDTIME_AVAILABLE,-3600,0
2023-12-07,IDEAL_BEDTIME_AVAILABLE,-4500,-900
2023-12-08,IDEAL_BEDTIME_AVAILABLE,-4500,-900
2023-12-09,IDEAL_BEDTIME_AVAILABLE,-4500,-900
2023-12-12,IDEAL_BEDTIME_AVAILABLE,-4500,-900
2023-12-13,IDEAL_BEDTIME_AVAILABLE,-2700,900
2023-12-14,IDEAL_BEDTIME_AVAILABLE,-2700,900
2023-12-15,IDEAL_BEDTIME_AVAILABLE,-3600,0
2023-12-16,IDEAL_BEDTIME_AVAILABLE,-1800,1800
2023-12-17,IDEAL_BEDTIME_AVAILABLE,-900,2700
2023-12-18,IDEAL_BEDTIME_AVAILABLE,-1800,1800
2023-12-19,IDEAL_BEDTIME_AVAILABLE,-1800,1800
2023-12-20,IDEAL_BEDTIME_AVAILABLE,-1800,1800
2023-12-21,IDEAL_BEDTIME_AVAILABLE,-2700,900
2023-12-22,IDEAL_BEDTIME_AVAILABLE,-2700,900
2023-12-25,IDEAL_BEDTIME_AVAILABLE,-2700,900
2023-12-26,IDEAL_BEDTIME_AVAILABLE,-900,2700
2023-12-28,IDEAL_BEDTIME_AVAILABLE,-900,2700
2023-12-29,IDEAL_BEDTIME_AVAILABLE,-1800,1800
2023-12-30,IDEAL_BEDTIME_AVAILABLE,-1800,1800
2024-01-01,IDEAL_BEDTIME_AVAILABLE,-4500,-900
2024-01-02,IDEAL_BEDTIME_AVAILABLE,-3600,0
2024-01-03,IDEAL_BEDTIME_AVAILABLE,-3600,0
2024-01-05,IDEAL_BEDTIME_AVAILABLE,-3600,0
2024-01-06,IDEAL_BEDTIME_AVAILABLE,-900,2700
2024-01-07,IDEAL_BEDTIME_AVAILABLE,-900,2700
2024-01-08,IDEAL_BEDTIME_AVAILABLE,-900,2700
2024-01-09,IDEAL_BEDTIME_AVAILABLE,-900,2700
2024-01-10,IDEAL_BEDTIME_AVAILABLE,-900,2700
2024-01-12,IDEAL_BEDTIME_AVAILABLE,-900,2700
2024-01-16,IDEAL_BEDTIME_AVAILABLE,-3600,0
2024-01-17,IDEAL_BEDTIME_AVAILABLE,-3600,0
2024-01-18,IDEAL_BEDTIME_AVAILABLE,-4500,-900
2024-01-19,IDEAL_BEDTIME_AVAILABLE,-6300,-2700
2024-01-20,IDEAL_BEDTIME_AVAILABLE,-4500,-900
2024-01-22,IDEAL_BEDTIME_AVAILABLE,-6300,-2700
