score,day,contributors_timing,contributors_deep_sleep,contributors_restfulness,contributors_efficiency,contributors_latency,contributors_rem_sleep,contributors_total_sleep
70,2022-07-10,64,91,50,62,94,63,73
51,2022-07-11,100,16,40,53,78,14,55
63,2022-07-12,100,63,42,65,78,24,69
68,2022-07-13,100,62,44,76,97,33,70
56,2022-07-14,100,55,44,48,89,21,52
55,2022-07-15,100,37,48,51,64,14,59
71,2022-07-16,99,96,44,55,91,46,74
48,2022-07-17,22,49,57,96,81,26,33
56,2022-07-18,100,38,41,39,59,27,64
54,2022-07-19,100,40,41,55,78,13,55
40,2022-07-20,1,100,99,22,59,1,20
56,2022-07-21,100,30,40,55,83,28,59
60,2022-07-22,100,56,44,39,99,5,64
57,2022-07-23,100,56,40,21,99,40,56
63,2022-07-24,78,52,41,74,75,6,80
53,2022-07-25,96,23,50,37,83,16,55
57,2022-07-26,100,64,45,62,89,12,49
47,2022-07-27,1,96,79,96,75,9,22
51,2022-07-28,1,51,54,93,83,48,44
65,2022-07-29,98,55,41,53,64,56,74
59,2022-07-30,43,78,46,60,86,41,62
79,2022-07-31,83,98,55,67,91,62,85
59,2022-08-02,91,85,49,32,91,17,57
58,2022-08-03,100,75,49,41,94,27,49
64,2022-08-04,62,95,63,41,97,36,59
57,2022-08-05,65,61,57,41,94,21,58
55,2022-08-06,54,51,44,48,94,20,62
60,2022-08-07,75,68,46,46,89,32,63
65,2022-08-09,79,69,43,72,75,45,70
40,2022-08-10,98,19,36,41,23,16,42
61,2022-08-11,79,54,37,51,83,33,72
47,2022-08-12,100,76,51,51,78,8,23
66,2022-08-13,99,96,61,51,91,21,59
63,2022-08-14,62,70,48,53,83,22,74
61,2022-08-15,100,51,45,55,97,23,58
52,2022-08-16,82,44,44,46,97,2,52
54,2022-08-17,100,71,42,41,91,23,44
50,2022-08-18,100,54,44,41,54,18,48
55,2022-08-19,81,61,51,27,89,21,52
44,2022-08-20,73,35,40,51,83,11,37
57,2022-08-24,92,95,51,41,78,29,46
57,2022-08-25,100,93,52,44,72,8,49
63,2022-08-26,100,75,41,69,89,25,60
27,2022-08-27,41,8,56,30,72,1,10
67,2022-08-28,100,96,50,48,94,33,61
52,2022-08-29,20,78,48,67,99,18,47
55,2022-08-30,95,74,54,46,97,17,39
71,2022-08-31,100,93,63,44,97,33,67
55,2022-09-01,27,21,45,79,81,56,62
60,2022-09-02,53,99,58,53,29,18,73
57,2022-09-03,100,97,50,58,97,10,38
44,2022-09-04,12,63,70,88,83,12,23
64,2022-09-05,100,27,41,60,75,23,83
50,2022-09-06,77,65,47,65,78,9,39
49,2022-09-07,100,28,41,32,86,16,48
58,2022-09-08,21,97,56,81,94,28,51
61,2022-09-09,100,54,45,65,89,32,59
65,2022-09-10,71,53,44,53,97,37,79
60,2022-09-11,86,92,57,44,75,16,57
55,2022-09-12,100,44,48,34,97,18,52
65,2022-09-13,100,99,59,48,89,29,57
59,2022-09-14,100,60,44,65,89,22,55
60,2022-09-15,100,81,52,46,70,29,55
52,2022-09-16,100,56,41,53,83,9,46
57,2022-09-17,77,67,48,72,94,6,52
55,2022-09-18,1,95,58,95,78,16,50
51,2022-09-19,40,63,45,58,78,20,52
68,2022-09-20,52,81,45,60,99,22,86
62,2022-09-21,100,85,55,65,78,9,57
66,2022-09-22,100,97,64,51,94,9,57
55,2022-09-23,1,49,48,90,94,50,56
45,2022-09-24,91,53,46,46,83,8,28
58,2022-09-25,76,66,44,69,91,16,55
66,2022-09-26,100,96,54,62,94,41,54
58,2022-09-27,94,80,49,48,83,12,53
63,2022-09-28,100,54,44,69,94,45,57
57,2022-09-29,100,60,53,51,89,29,45
48,2022-09-30,54,46,42,46,99,13,44
52,2022-10-01,100,64,51,60,78,13,37
50,2022-10-02,53,38,42,62,78,13,56
57,2022-10-03,50,94,51,58,78,20,56
64,2022-10-04,100,100,68,58,91,23,48
62,2022-10-05,100,83,53,58,94,21,52
60,2022-10-06,92,96,51,58,81,12,54
63,2022-10-07,100,70,57,67,89,23,56
76,2022-10-08,44,100,94,96,86,59,64
53,2022-10-09,90,50,50,83,83,7,41
57,2022-10-10,34,97,63,55,64,23,57
66,2022-10-11,89,83,56,58,89,32,64
68,2022-10-12,100,98,66,69,64,23,66
72,2022-10-13,81,96,60,60,91,50,72
64,2022-10-14,65,96,53,74,81,28,61
68,2022-10-15,97,100,80,76,75,10,57
63,2022-10-16,83,95,58,74,86,11,56
72,2022-10-17,96,73,55,81,64,49,79
64,2022-10-18,100,41,57,83,89,43,56
69,2022-10-19,100,97,59,67,86,26,64
52,2022-10-20,100,44,48,51,22,34,57
57,2022-10-21,100,68,52,55,67,16,54
57,2022-10-22,100,86,52,58,83,9,43
53,2022-10-23,83,70,51,41,78,9,49
69,2022-10-24,100,96,59,65,86,23,65
65,2022-10-25,100,97,59,69,72,23,57
61,2022-10-26,100,71,49,60,86,13,59
61,2022-10-27,100,63,57,51,94,40,51
61,2022-10-28,71,56,50,67,91,25,65
58,2022-10-29,69,81,62,48,70,33,54
66,2022-10-30,100,95,60,58,72,28,63
57,2022-10-31,59,80,62,72,75,23,49
64,2022-11-01,100,63,58,51,83,40,62
68,2022-11-02,100,95,53,65,99,29,60
54,2022-11-03,100,18,45,60,62,15,62
57,2022-11-04,1,96,85,100,67,48,37
63,2022-11-05,99,96,63,74,89,13,46
70,2022-11-06,100,96,56,65,94,30,65
60,2022-11-07,100,96,58,41,89,8,50
61,2022-11-08,81,89,56,55,81,16,58
62,2022-11-09,91,95,57,60,94,13,53
66,2022-11-10,75,80,55,76,89,26,65
36,2022-11-11,22,49,49,67,75,2,20
69,2022-11-12,99,95,62,88,89,32,55
67,2022-11-15,87,61,60,62,86,45,67
69,2022-11-16,100,96,58,67,97,20,64
72,2022-11-17,51,100,90,98,75,18,67
60,2022-11-18,100,68,54,62,83,21,52
58,2022-11-19,92,89,71,79,67,8,40
73,2022-11-20,100,94,53,67,89,22,78
68,2022-11-21,100,86,53,48,99,5,74
67,2022-11-22,62,76,55,69,78,39,76
63,2022-11-23,100,67,49,55,78,10,69
57,2022-11-24,100,67,55,44,89,9,50
62,2022-11-25,86,60,49,58,89,23,67
63,2022-11-26,98,95,64,44,94,3,57
58,2022-11-27,94,71,56,58,67,13,54
62,2022-11-28,75,96,62,58,81,27,55
68,2022-11-29,99,98,62,51,89,22,66
58,2022-11-30,100,50,47,65,94,6,55
68,2022-12-01,100,75,60,62,91,15,71
62,2022-12-02,40,81,72,67,75,2,67
66,2022-12-03,43,97,63,62,94,27,70
48,2022-12-04,89,57,63,48,21,8,47
58,2022-12-05,63,75,54,51,59,24,66
72,2022-12-06,57,98,62,72,91,36,78
63,2022-12-07,63,85,43,67,86,16,70
59,2022-12-08,88,66,51,60,86,18,57
57,2022-12-09,50,97,70,46,75,11,54
60,2022-12-10,17,98,63,65,86,20,64
59,2022-12-11,69,96,65,62,81,27,46
62,2022-12-12,100,79,66,62,70,11,57
55,2022-12-13,100,96,66,46,51,6,45
51,2022-12-14,65,32,53,37,81,21,57
70,2022-12-15,86,86,47,65,83,38,77
56,2022-12-16,100,53,67,39,83,13,48
46,2022-12-17,47,76,62,65,86,15,23
46,2022-12-18,91,47,53,39,27,9,48
60,2022-12-19,87,96,63,55,86,17,47
70,2022-12-20,44,95,85,74,83,31,70
70,2022-12-21,100,95,65,62,83,22,68
55,2022-12-22,74,28,48,60,86,19,59
60,2022-12-23,1,95,79,97,78,33,50
65,2022-12-24,33,96,67,72,54,61,66
68,2022-12-25,49,81,52,53,94,74,70
50,2022-12-26,23,97,67,53,89,3,38
52,2022-12-27,18,79,59,58,75,32,49
62,2022-12-28,16,95,62,79,70,44,65
66,2022-12-29,39,95,57,74,75,37,73
56,2022-12-30,30,74,54,74,72,51,52
49,2022-12-31,44,57,49,48,40,30,57
31,2023-01-01,1,19,41,48,99,15,19
80,2023-01-02,35,96,69,81,81,48,100
77,2023-01-03,61,96,58,72,94,52,88
70,2023-01-04,18,95,65,67,89,53,80
75,2023-01-05,60,97,69,74,94,62,75
48,2023-01-06,13,39,50,58,56,42,57
57,2023-01-07,53,96,69,46,97,33,40
45,2023-01-08,1,41,71,98,67,32,29
83,2023-01-09,100,87,55,44,97,77,99
64,2023-01-10,10,88,55,93,72,55,67
70,2023-01-11,32,99,60,69,89,46,80
64,2023-01-12,100,81,62,69,75,22,58
62,2023-01-13,17,79,58,72,70,38,73
57,2023-01-14,92,84,61,60,83,7,43
58,2023-01-15,70,97,62,65,67,6,51
54,2023-01-16,17,69,54,69,97,23,53
68,2023-01-17,51,75,60,79,99,26,74
54,2023-01-18,100,73,59,58,46,12,47
60,2023-01-19,100,70,46,58,59,14,65
60,2023-01-20,42,96,61,53,70,34,60
65,2023-01-21,98,98,72,72,81,28,48
62,2023-01-23,87,97,59,62,67,27,55
69,2023-01-24,97,97,60,69,97,23,63
58,2023-01-25,65,36,47,58,94,13,69
47,2023-01-26,49,52,55,34,1,42,60
70,2023-01-27,62,97,59,69,86,43,72
63,2023-01-28,95,84,68,79,94,19,45
70,2023-01-29,88,100,72,60,86,18,69
69,2023-01-30,84,97,59,67,89,31,68
63,2023-01-31,47,98,65,60,78,27,65
56,2023-02-01,98,52,46,58,86,11,54
57,2023-02-02,100,77,50,60,97,15,42
76,2023-02-03,1,100,77,93,81,84,82
56,2023-02-04,100,72,69,46,78,16,40
60,2023-02-05,77,96,74,53,78,14,50
52,2023-02-06,77,53,54,37,59,16,55
61,2023-02-07,100,69,54,58,89,14,56
65,2023-02-08,79,96,63,53,83,32,61
67,2023-02-09,84,97,64,55,97,26,62
66,2023-02-10,82,96,59,51,81,47,61
70,2023-02-11,83,94,76,76,70,13,69
58,2023-02-12,76,69,47,67,70,24,59
58,2023-02-13,72,96,53,58,35,15,64
69,2023-02-14,100,96,68,62,89,37,59
61,2023-02-15,100,70,48,55,62,13,67
71,2023-02-16,88,96,63,62,89,38,69
52,2023-02-17,92,72,50,60,51,10,45
54,2023-02-18,100,57,58,51,64,24,45
57,2023-02-19,91,70,57,51,94,12,47
60,2023-02-20,100,69,54,58,89,21,51
67,2023-02-21,100,99,75,46,86,27,58
72,2023-02-22,100,87,54,72,94,36,71
66,2023-02-23,73,92,56,72,78,26,67
63,2023-02-24,100,97,59,65,72,21,52
59,2023-02-25,76,64,74,65,97,32,42
51,2023-02-26,67,55,63,74,67,12,41
53,2023-02-27,45,80,57,81,70,5,47
82,2023-02-28,100,100,61,72,83,62,88
73,2023-03-01,100,97,64,72,94,37,67
75,2023-03-02,100,97,57,76,72,56,74
51,2023-03-03,6,97,89,86,67,19,29
71,2023-03-04,98,95,69,67,91,14,70
58,2023-03-05,83,80,59,46,86,13,53
61,2023-03-06,68,59,47,62,83,23,69
85,2023-03-07,91,96,53,74,78,84,100
68,2023-03-08,89,71,49,58,54,57,79
62,2023-03-09,87,96,48,44,91,31,58
65,2023-03-10,88,95,49,58,97,24,61
65,2023-03-11,100,96,64,60,83,23,55
64,2023-03-12,84,95,60,58,70,35,59
74,2023-03-13,96,67,47,74,67,71,85
66,2023-03-14,100,72,52,34,64,40,78
60,2023-03-15,82,73,54,60,97,10,55
72,2023-03-16,96,97,65,62,89,45,66
65,2023-03-17,76,87,54,76,72,27,66
60,2023-03-18,100,68,58,62,86,12,54
58,2023-03-19,85,50,55,69,83,25,54
66,2023-03-20,100,73,53,58,97,36,61
65,2023-03-21,99,82,51,60,67,28,67
78,2023-03-22,95,98,55,69,97,51,82
71,2023-03-23,100,85,52,69,89,26,76
63,2023-03-24,100,85,57,34,94,20,58
63,2023-03-25,100,73,49,55,94,33,58
63,2023-03-26,70,80,65,69,86,34,55
67,2023-03-27,82,97,64,55,83,41,63
69,2023-03-28,100,88,59,62,94,30,64
64,2023-03-29,100,92,66,62,48,28,61
53,2023-03-30,100,33,52,48,78,2,54
55,2023-03-31,96,33,44,55,78,20,57
33,2023-04-02,1,37,99,13,83,16,8
69,2023-04-03,70,96,50,72,40,44,83
70,2023-04-04,77,97,47,74,75,40,77
66,2023-04-05,84,99,63,53,78,27,63
76,2023-04-06,86,99,55,72,91,49,79
75,2023-04-07,100,99,67,62,89,36,74
60,2023-04-08,100,96,48,53,94,26,44
71,2023-04-09,100,98,65,69,70,40,68
48,2023-04-10,21,95,51,58,67,26,40
